Username,Handle,Timestamp,Text,Replys,Retweets,Likes
Secretaria Especial da Cultura,@CulturaGovBr,2010-07-05T18:13:47.000Z,"Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc
44
3",,44,3
Secretaria Especial da Cultura,@CulturaGovBr,2010-05-17T21:18:26.000Z,"BH: Debate sobre o #procultura amanhã, 18/5, às 9h, no Teatro da Assembleia Legislativa de MG #rouanet
7",,7,
Alessandro Molon,@alessandromolon,2010-05-11T22:04:16.000Z,"Estados Poderão ter Repasse de 30% do Fundo Nacional de Cultura: http://bit.ly/bibqeF #Procultura #Rouanet
1",,1,
Alessandro Molon,@alessandromolon,2010-05-11T16:04:50.000Z,"""É preciso se expor à discussão do #Procultura. A lei #rouanet é uma maravilha para poucos"" Adriana Rattes - Secretária estadual de Cultura",,,
Alessandro Molon,@alessandromolon,2010-05-11T16:03:30.000Z,"RT 
@marcusfaustini
 #procultura Manevy diz que apenas 3% dos proponentes concentram os recursos da #Rouanet",,,
marcus faustini,@marcusfaustini,2010-05-11T15:43:26.000Z,Adriana Rattes no #procultura demonstra mais uma vez sinceridade  falando sobre contradições da produção cultural via #Rouanet.,,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-05-03T22:12:03.000Z,"Carta contra cobertura do Blog da #Rouanet e resposta do Minc http://tinyurl.com/29crqe6 Dê sua opinião também
5
1",,5,1
Bruno Stehling,@brunostehling,2010-05-03T20:46:00.000Z,"RT 
@CulturaGovBr
: Curitiba sedia reunião pública sobre #procultura. Hoje, às 19h, no Teatro Sesc da Esquina #rouanet",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-05-03T20:37:23.000Z,"Curitiba sedia reunião pública sobre #procultura. Hoje, às 19h, no Teatro Sesc da Esquina #rouanet
4",,4,
Secretaria Especial da Cultura,@CulturaGovBr,2010-04-30T13:52:34.000Z,Começa agora encontro regional para discutir Procultura na Bahia #rouanet,,,
Pedro Paranaguá,@pedroparanagua,2010-04-27T23:42:33.000Z,"IDEC apóia uso de obras autorais com financiamento público #reformaLDA #rouanet http://www.idec.org.br/emacao.asp?id=2284
1
1",,1,1
Eric Klug,@ericklug,2010-04-26T23:40:25.000Z,"#Rouanet Bom, ja ouvi demais esta mesma história, tenho mais o que fazer. Me voy. Ciao.",,,
Eric Klug,@ericklug,2010-04-26T23:36:55.000Z,"#Rouanet Alfredo Manevy fica agradecendo a todos e dizendo que a nova lei é inovadora, moderna e democratica",,,
Eric Klug,@ericklug,2010-04-26T23:32:07.000Z,"#Rouanet Desculpe, Alice Portugal não, Anita Pires...",,,
Eric Klug,@ericklug,2010-04-26T23:28:34.000Z,#Rouanet Esta Alice Portugal é jogo duro,,,
Eric Klug,@ericklug,2010-04-26T23:26:50.000Z,"#Rouanet Pronto, já comecei a ficar envergonhado dos nossos servidores públicos",,,
Eric Klug,@ericklug,2010-04-26T23:18:48.000Z,#Rouanet Calil critica também a Lei do Esporte,,,
Eric Klug,@ericklug,2010-04-26T23:15:20.000Z,#Rouanet Calil defende redução gradual dos incentivos,,,
Eric Klug,@ericklug,2010-04-26T23:12:29.000Z,#Rouanet Calil critica Rouanet pelo incentivo de 100%,,,
Eric Klug,@ericklug,2010-04-26T23:04:52.000Z,#Rouanet Chico César naquele eter viajante em que vivem alguns de nossos maiores artistas,,,
Eric Klug,@ericklug,2010-04-26T23:01:49.000Z,#Rouanet Chico César vai ler um coco! Ele virou secretario da cultura de Joao Pessoa!,,,
Eric Klug,@ericklug,2010-04-26T22:55:54.000Z,"#Rouanet Andre Sturm defende Lei Rouanet dizendo que, apesar de falhas, Rouanet funciona",,,
Eric Klug,@ericklug,2010-04-26T22:55:13.000Z,#Rouanet Nei Piacentini leu seu artigo publicado na Folha,,,
Eric Klug,@ericklug,2010-04-26T22:54:36.000Z,#Rouanet Mesa empobrecida pela ausência de Juca Ferreira e João Sayad,,,
Eric Klug,@ericklug,2010-04-26T22:44:24.000Z,#Rouanet Chegando no debate da Roaunet - Pro Cultura,,,
Eric Klug,@ericklug,2010-04-26T22:20:50.000Z,#rouanet Tem alguem ai no encontro da Rouanet na Assembleia Legislativa?,,,
Silvana Marques,@SilMarq,2010-04-26T17:53:26.000Z,"RT 
@CulturaGovBr
 Hoje, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet
1",,1,
Gabriel Rapassi,@grapassi,2010-04-26T16:58:25.000Z,"RT 
@CulturaGovBr
 Hoje, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet",,,
Eric Klug,@ericklug,2010-04-26T16:55:12.000Z,"Vamos lá, pessoal! RT 
@CulturaGovBr
 Hoje, às 19h, reunião pública na Assembléia Legislativa sobre o #Procultura que atualiza Lei #Rouanet",,,
Eu Luiz Fernando Almeida,@euluizfernandoa,2010-04-26T16:48:40.000Z,"RT 
@CulturaGovBr
: Hoje, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet",,,
aline cavalcante,@pedaline,2010-04-26T16:19:06.000Z,"FINALMENTE RT 
@CulturaGovBr
 hj, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet",,,
jpetermann1,@JPetermann1,2010-04-26T16:15:11.000Z,"IMPORTANTE!! Hoje, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-04-26T16:09:31.000Z,"Hoje, às 19h, reunião pública na Assembléia Legislativa de SP sobre o #Procultura - PL que atualiza a Lei #Rouanet
13
1",,13,1
Chris Gar,@chris_gar,2010-03-10T02:40:52.000Z,"#medo #rouanet RT 
@Rennasx
: 
@chris_gar
 Tá rolando mais que isso... em breve, nos principais veículos de comunicação... kkkkkkkkkk",,,
raos,@_raos,2010-02-25T16:49:56.000Z,"#FuckYouMallu #ForaMallu #FORAMalluMagalhaes #Rouanet #Fail #Brasil #Fail #Cultura #Fail
2",,2,
